Start Time, Stop Time, Src IP, Src Country, Src Port, Dst IP, Dst Country, Dst Port, Packets, Data bytes, Bytes, Arkime Node, URI, Sender, Receiver, Subject, Filenames, Host, Alt Name, Channel
1691735630869,1691735812970,10.10.123.75,,55965,162.125.40.2,US,443,45,0,38880,hanlab,,,,,,,,
1691735812973,1691735812973,10.10.110.51,,53325,239.255.255.250,,1900,1,175,217,hanlab,,,,,,,,
1691735811981,1691735812987,10.10.160.107,,60863,239.255.255.250,,1900,2,350,434,hanlab,,,,,,,,
1691735812996,1691735812999,10.30.70.238,,8000,10.10.1.231,,57832,3,0,2105,hanlab,,,,,,,,
1691735812759,1691735813002,10.10.128.73,,60260,142.250.76.134,US,443,39,13100,14738,hanlab,,,,,,,,
1691735812029,1691735813030,10.10.121.81,,62221,239.255.255.250,,1900,2,352,436,hanlab,,,,,,,,
1691735780981,1691735813030,fe80::3e7b:5a67:5774:bc53,,546,ff02::1:2,,547,7,665,1099,hanlab,,,,,,,,
1691735772299,1691735813034,10.10.128.73,,55767,211.115.106.75,KR,80,54,12350,15743,hanlab,"gms.ahnlab.com/jk?c=62&p=PFp2zUhcRLOw_o8e0cz6EgRu1yV54jRwxO+z49XnxT0=&k=1",,,,,,,
1691735813034,1691735813035,10.10.128.167,,51664,10.10.128.169,,161,2,104,188,hanlab,,,,,,,,
1691735612002,1691735813035,10.10.161.195,,50635,10.10.1.45,,1521,75,0,21555,hanlab,,,,,,,,
1691735813047,1691735813048,10.10.128.73,,63402,168.126.63.1,KR,53,2,171,255,hanlab,,,,,,"cdn.quantummetric.com",,
1691735813046,1691735813048,10.10.128.73,,55472,168.126.63.1,KR,53,2,126,210,hanlab,,,,,,"cdn.quantummetric.com",,
1691735813043,1691735813048,10.10.126.236,,59516,10.16.10.5,,443,21,3201,4431,hanlab,,,,,,,,
1691735777739,1691735813055,10.10.128.73,,60749,34.120.179.252,US,443,39,9490,11128,hanlab,,,,,,,,
1691735596620,1691735813058,10.10.166.139,,137,10.10.255.255,,137,378,18900,34776,hanlab,,,,,,,,
